,name,longitude,latitude
0,Luhtimäki,24.8201851,60.2689544
1,Petikontie,24.815069,60.2796056
2,Martinkyläntie,24.821893,60.2779776
3,Vantaanpuisto,24.8565537,60.3012198
4,Vehkala station,24.8442235,60.2948249
5,Rubiinipuisto,24.8534876,60.3217496
6,Hagelstamintie,24.959207,60.2847013
7,Aurinkokivenpiha,24.8499308,60.3187548
8,Hagelstaminpuisto,24.9660263,60.2811985
9,Kivistö station,24.8495962,60.3155649
10,Tammistontie,24.9703214,60.2762183
11,Mestarintie,24.8507536,60.307614
12,Antaksentie,24.9483596,60.2935188
13,Lincolninaukio,24.8312068,60.3184709
14,Pakkalan puistotie,24.9489907,60.2895658
15,Vetokuja,24.8789874,60.2694491
16,Kartanonkoski sports park,24.9563511,60.2795197
17,Tuupakankuja,24.8914873,60.2963001
18,Ansatie,24.9223106,60.2947865
19,Riistakuja,24.9070643,60.2952683
20,Osumakuja,24.9326708,60.3005094
21,Tahkotie,24.913318,60.30363
22,Tammiston kauppatie,24.9744748,60.2824962
23,Suokalliontie,24.8985,60.3068
24,Väinö Tannerin tie,24.95928,60.2896037
25,Vantaanlaaksontie,24.8724943,60.2831918
26,Myyrmäki ice hall,24.8409657,60.263718
27,Ollaksentie,24.9107005,60.2846073
28,Tikkuraitti,25.0364107,60.2934127
29,Aapraminkaari,24.8671399,60.2579402
30,Myyrmäki station,24.8548099,60.2609664
31,Tikkurila station,25.044587,60.2947747
32,Vuorimestarintori,24.8716415,60.2639194
33,Rälssitie,24.9721365,60.293995
34,Männistönpolku,25.0424261,60.2932159
35,Kaivokselantie,24.8724826,60.268743
36, Jumbo P1-level,24.9643631,60.2902401
37,Rillitori,25.0515797,60.2930266
38,Silvola,24.8815986,60.2651189
39, Jumbo P3-level,24.9623982,60.2909266
40,Gallen-Kallelan tie,24.840699,60.206142
41,Elfvik,24.8231,60.203852
42,Laajalahden keskus,24.80493,60.203892
43,Maalitori,25.0449516,60.2918634
44,Majurinkulma,24.824954,60.210735
45,Liesikuja,24.854638,60.2627728
46,Yhdyskunnankuja,24.819549,60.212508
47,Liljatie,25.0220122,60.2910976
48,Urheilutie,25.0595055,60.2956961
49,Martinlaakso swimming hall,24.8455118,60.2758399
50,Oljenkorsi,25.0625998,60.298773
51,Martinlaakso station,24.8530321,60.2774844
52,Suopursunaukio,25.0418704,60.2994855
53,Malminiitynpuisto,25.0406925,60.3155676
54,Kuohukuja,24.8462619,60.2699185
55,Kurjenpolvenpuisto,25.018708,60.2940257
56,Kauppalaivurintie,24.8663431,60.2903329
57,Louhela station,24.8531798,60.2701588
58,Peltolantori,25.0299499,60.2935647
59,Martinlaaksontie,24.8674029,60.2778249
60,Myyrmäki swimming hall,24.8521254,60.2655499
61,Virnatie,25.0332859,60.2878288
62,Laajavuorentie,24.8483852,60.2817801
63,Kirjurinkuja,24.826435064684034,60.216694788561654
64,Upseerinkatu,24.819396,60.216067
65,Komentajankatu,24.821932,60.216222
66,Jokiniemenkatu,25.050165,60.2982375
67,Säteri,24.811572,60.213443
68,Kilterinaukio,24.8526744,60.2571537
69,Malminiitynpolku,25.0351161,60.3132651
70,Tammistonkatu,24.9667526,60.2690918
71,Honkasuo,24.8430601,60.2587643
72,Tarhurinaukio,25.0444984,60.3124746
73,Meripihkatori,24.8479958,60.2624796
74,Hiekkaharju station,25.0493034,60.3047281
75,Heureka,25.0419033,60.2886215
76,Vantaankoski station,24.8491118,60.2852294
77,Talkootori,25.0462299,60.3030604
78,Pyhtäänkorventie,24.9734811,60.2998958
79,Kukinkuja,24.8611776,60.2790946
80,Puutarhatie,25.0064559,60.2921602
81,Hernetie,25.0333627,60.2958319
82,Säterinrinne,24.805613,60.214193
83,Kiskanpuisto,24.8400236,60.279126
84,Nokkala,24.754344,60.147974
85,Säterinniitty,24.800486,60.214666
86,Matinlahdenranta,24.754196,60.151041
87,Rummunlyöjänkatu,24.806279,60.217261
88,Ratsutori,24.812419,60.217311
89,Nuottaniementie,24.741546,60.147921
90,Leppävaaranaukio,24.814828,60.218731
91,Sepetlahdentie,24.741234,60.152343
92,Sauvatie,25.0729534,60.3206875
93,Koivutori,25.0618091,60.3236278
94,Kydönaukio,25.0633814,60.3201329
95,Maitikka-aukio,25.0232892,60.3056515
96,Energia Arena,24.8391748,60.2601674
97,Sananjalanpolku,25.0265759,60.3134573
98,Tikkurila sports park,25.0284272,60.2996103
99,Leppävaarankäytävä,24.813437,60.220254
100,Matinkartanontie,24.752489,60.156258
101,Leinikkitie,25.0307302,60.3105341
102,Hiekkaharju sports park,25.0548444,60.3009186
103,Läkkitori,24.813109,60.221019
104,Matinkyläntie,24.744978,60.155689
105,Mestarinkatu,24.816382,60.222183
106,Tiistiläntie,24.737664,60.156755
107,Muurarinkuja,24.812271,60.223769
108,Tiistinkallio,24.729112,60.153737
109,Postipuun koulu,24.826396,60.223827
110,Etuniementie,24.724835,60.160645
111,Teletie,24.9681387,60.3133866
112,Sairaalakatu,25.0612598,60.3317268
113,Rekola station,25.0674364,60.3330046
114,Leinelä station,25.0375224,60.3232032
115,Gransinmäki,24.804898,60.222154
116,Hauenkalliontie,24.756272,60.161138
117,Koivukylä station,25.0598835,60.3232722
118,Hanasaari,24.840319,60.16582
119,Nelikkotie,24.74663,60.161588
120,Keilalahti,24.827467,60.171524
121,Leppävaaran urheilupuisto,24.800971,60.224943
122,Suomenlahdentie,24.741294,60.160015
123,Westendinasema,24.805758,60.168266
124,Leppävaaran uimahalli,24.804735,60.226379
125,Piispansilta,24.738416,60.162403
126,Golfpolku,24.796136,60.168143
127,Vallikatu,24.813871,60.228463
128,Piispanportti,24.732688,60.165603
129,Revontulentie,24.802938,60.171551
130,Tapaninkyläntie,24.9732547,60.2658549
131,Tasetie,24.9680763,60.2899626
132,Robert Huberin tie,24.9627966,60.2959171
133,Teknobulevardi,24.9659589,60.3046698
134,Vallipolku,24.819614,60.227827
135,Friisilänaukio,24.721367,60.162842
136,Avia-aukio,24.9547822,60.30255
137,Sateentie,24.810688,60.173424
138,Linnuntie,24.813954,60.234401
